point_id,date,chlorophyll_a
P03,2022-03-05,9.48
P01,2022-03-19,83.61
P02,2022-03-19,32.42
P03,2022-03-19,19.06
P01,2022-04-03,4.56
P02,2022-04-03,59.29
P03,2022-04-03,67.92
P01,2022-04-18,2.15
P02,2022-04-18,51.45
P03,2022-04-18,23.04
P01,2022-05-02,64.69
P02,2022-05-02,17.85
P03,2022-05-02,69.25
P01,2022-05-17,38.98
P02,2022-05-17,93.7
P03,2022-05-17,14.18
P01,2022-06-01,34.44
P02,2022-06-01,11.79
P03,2022-06-01,92.51
P01,2022-06-15,87.8
P02,2022-06-15,26.17
P03,2022-06-15,66.17
P01,2022-06-30,81.81
P02,2022-06-30,55.74
P03,2022-06-30,53.2
P01,2022-07-15,24.56
P02,2022-07-15,9.76
P03,2022-07-15,89.77
P01,2022-07-30,90.09
P02,2022-07-30,63.49
P03,2022-07-30,34.23
P01,2022-08-13,35.25
P02,2022-08-13,72.73
P03,2022-08-13,89.76
P01,2022-08-28,88.77
P02,2022-08-28,78.1
P03,2022-08-28,64.38
P01,2022-09-12,8.87
P02,2022-09-12,16.58
P03,2022-09-12,89.91
P01,2022-09-26,60.84
P02,2022-09-26,1.42
P03,2022-09-26,10.6
P01,2022-10-11,66.52
P02,2022-10-11,1.0
P03,2022-10-11,16.5
P01,2022-10-26,55.1
P02,2022-10-26,69.34
P03,2022-10-26,65.37
P01,2022-11-10,22.81
P02,2022-11-10,71.36
P03,2022-11-10,24.11
P01,2022-11-24,32.88
P02,2022-11-24,74.78
P03,2022-11-24,65.14
P01,2022-12-09,85.0
P02,2022-12-09,65.93
P03,2022-12-09,57.05
P01,2022-12-24,9.82
P02,2022-12-24,37.09
P03,2022-12-24,26.89
P01,2023-01-07,24.78
P02,2023-01-07,97.31
P03,2023-01-07,39.61
P01,2023-01-22,89.26
P02,2023-01-22,63.3
P03,2023-01-22,79.58
P01,2023-02-06,50.51
P02,2023-02-06,57.9
P03,2023-02-06,49.51
P01,2023-02-20,19.93
P02,2023-02-20,72.38
P03,2023-02-20,28.44
P01,2023-03-07,2.92
P02,2023-03-07,64.72
P03,2023-03-07,18.12
P01,2023-03-22,94.08
P02,2023-03-22,95.42
P03,2023-03-22,91.53
P01,2023-04-06,37.33
P02,2023-04-06,2.04
P03,2023-04-06,92.87
P01,2023-04-20,43.1
P02,2023-04-20,96.68
P03,2023-04-20,96.38
P01,2023-05-05,85.37
P02,2023-05-05,29.8
P03,2023-05-05,38.82
P01,2023-05-20,85.19
P02,2023-05-20,32.03
P03,2023-05-20,17.36
P01,2023-06-03,55.9
P02,2023-06-03,93.65
P03,2023-06-03,69.75
P01,2023-06-18,57.22
P02,2023-06-18,10.17
P03,2023-06-18,61.69
P01,2023-07-03,99.01
P02,2023-07-03,14.44
P03,2023-07-03,52.07
P01,2023-07-18,87.8
P02,2023-07-18,74.21
P03,2023-07-18,69.85
P01,2023-08-01,70.4
P02,2023-08-01,36.27
P03,2023-08-01,29.71
P01,2023-08-16,81.03
P02,2023-08-16,81.11
P03,2023-08-16,86.77
P01,2023-08-31,91.37
P02,2023-08-31,51.38
P03,2023-08-31,50.4
P01,2023-09-14,79.93
P02,2023-09-14,65.17
P03,2023-09-14,70.35
P01,2023-09-29,79.68
P02,2023-09-29,89.06
P03,2023-09-29,34.13
P01,2023-10-14,37.87
P02,2023-10-14,9.85
P03,2023-10-14,58.04
P01,2023-10-28,4.08
P02,2023-10-28,46.83
P03,2023-10-28,54.49
P01,2023-11-12,29.01
P02,2023-11-12,59.29
P03,2023-11-12,3.53
P01,2023-11-27,4.22
P02,2023-11-27,82.35
P03,2023-11-27,36.34
P01,2023-12-12,13.14
P02,2023-12-12,52.46
P03,2023-12-12,77.11
P01,2023-12-26,21.97
P02,2023-12-26,62.48
P03,2023-12-26,8.99
P01,2024-01-10,5.64
P02,2024-01-10,53.37
P03,2024-01-10,54.29
P01,2024-01-25,63.92
P02,2024-01-25,72.75
P03,2024-01-25,97.6
P01,2024-02-08,51.87
P02,2024-02-08,32.63
P03,2024-02-08,79.62
P01,2024-02-23,27.45
P02,2024-02-23,44.18
P03,2024-02-23,8.31
P01,2024-03-09,3.02
P02,2024-03-09,96.28
P03,2024-03-09,83.68
P01,2024-03-23,69.75
P02,2024-03-23,41.19
P03,2024-03-23,17.74
P01,2024-04-07,16.07
P02,2024-04-07,25.4
P03,2024-04-07,55.15
P01,2024-04-22,71.6
P02,2024-04-22,66.19
P03,2024-04-22,28.35
P01,2024-05-07,95.51
P02,2024-05-07,73.92
P03,2024-05-07,55.66
P01,2024-05-21,61.37
P02,2024-05-21,42.25
P03,2024-05-21,25.15
P01,2024-06-05,35.92
P02,2024-06-05,75.91
P03,2024-06-05,1.93
P01,2024-06-20,12.05
P02,2024-06-20,5.08
P03,2024-06-20,4.55
P01,2024-07-04,85.62
P02,2024-07-04,70.51
P03,2024-07-04,47.68
P01,2024-07-19,10.23
P02,2024-07-19,49.42
P03,2024-07-19,47.61
P01,2024-08-03,17.73
P02,2024-08-03,43.67
P03,2024-08-03,40.15
P01,2024-08-18,61.78
P02,2024-08-18,63.69
P03,2024-08-18,5.01
P01,2024-09-01,37.77
P02,2024-09-01,62.77
P03,2024-09-01,50.56
P01,2024-09-16,85.72
P02,2024-09-16,66.04
P03,2024-09-16,16.71
P01,2024-10-01,7.52
P02,2024-10-01,64.42
P03,2024-10-01,3.14
P01,2024-10-15,58.78
P02,2024-10-15,94.05
P03,2024-10-15,57.76
P01,2024-10-30,39.12
P02,2024-10-30,64.51
P03,2024-10-30,46.1
P01,2024-11-14,54.79
P02,2024-11-14,94.18
P03,2024-11-14,38.92
P01,2024-11-28,96.14
P02,2024-11-28,90.58
P03,2024-11-28,19.98
P01,2024-12-13,7.4
P02,2024-12-13,10.53
P03,2024-12-13,2.31
P01,2024-12-28,9.9
P02,2024-12-28,68.46
P03,2024-12-28,7.58
P01,2025-01-12,32.24
P02,2025-01-12,84.57
P03,2025-01-12,2.82
P01,2025-01-26,81.54
P02,2025-01-26,28.54
P03,2025-01-26,12.26
P01,2025-02-10,69.83
P02,2025-02-10,63.08
P03,2025-02-10,87.81
P01,2025-02-25,73.64
P02,2025-02-25,80.45
P03,2025-02-25,28.56
P01,2025-03-11,18.16
P02,2025-03-11,75.19
P03,2025-03-11,80.78
P01,2025-03-26,99.06
P02,2025-03-26,41.56
P03,2025-03-26,37.52
P01,2025-04-10,77.75
P02,2025-04-10,34.41
P03,2025-04-10,93.11
P01,2025-04-25,85.91
P02,2025-04-25,43.18
P03,2025-04-25,75.21
P01,2025-05-09,75.58
P02,2025-05-09,10.76
P03,2025-05-09,90.3
P01,2025-05-24,50.77
P02,2025-05-24,82.73
P03,2025-05-24,32.34
P01,2025-06-08,89.6
P02,2025-06-08,39.23
P03,2025-06-08,1.58
P01,2025-06-22,90.59
P02,2025-06-22,9.58
P03,2025-06-22,32.27
P01,2025-07-07,95.03
P02,2025-07-07,95.09
P03,2025-07-07,57.56
P01,2025-07-22,63.37
P02,2025-07-22,45.12
P03,2025-07-22,29.67
P01,2025-08-05,33.2
P02,2025-08-05,67.42
P03,2025-08-05,75.36
P01,2025-08-20,79.26
P02,2025-08-20,79.07
P03,2025-08-20,9.58
P01,2025-09-04,49.69
P02,2025-09-04,6.23
P03,2025-09-04,55.18
P01,2025-09-19,44.43
P02,2025-09-19,88.83
P03,2025-09-19,35.42
P01,2025-10-03,12.15
P02,2025-10-03,14.73
P03,2025-10-03,76.27
P01,2025-10-18,62.01
P02,2025-10-18,10.56
P03,2025-10-18,8.87
P01,2025-11-02,70.25
P02,2025-11-02,7.74
P03,2025-11-02,82.28
P01,2025-11-16,70.77
P02,2025-11-16,8.59
P03,2025-11-16,8.94
P01,2025-12-01,98.67
P02,2025-12-01,37.74
P03,2025-12-01,37.38
P01,2025-12-16,81.37
P02,2025-12-16,94.75
P03,2025-12-16,98.61
P01,2025-12-31,75.46
P02,2025-12-31,37.94
P03,2025-12-31,8.81

